"All test cases below should be initiated with the following initial conditions:
,,,Right click on them,,"The option list will show as: Copy Link, Change Expiry, Set Password, Stop Sharing, Restart Sharing and Delete",,,
,,,Select Change Expiry option,,The Change Expiry form appears,,,
,,,Click on the Cancel button,,The old Expiry date is still applied,,,
CFTP.FILEMANAGER.SHARE.061,Verify able to Set Password for two files which have status are Public and Stopped,- Shared files with/without password ->the Shares folder appears with these shared files,Select two files have status Public and Stopped,,,,,
,,,Right click on them,,"The option list will show as: Copy Link, Change Expiry, Set Password, Stop Sharing, Restart Sharing and Delete",,,
,,,Select Set Password option,,The Set Password form appears,,,
,,,Click on the OK button,,The status of selected files is changed to Password Protected,,,
CFTP.FILEMANAGER.SHARE.062,Verify able to cancel Set Password for two files which have status are Public and Stopped,- Shared files with/without password ->the Shares folder appears with these shared files,Select two files have status Public and Stopped,,,,,
,,,Right click on them,,"The option list will show as: Copy Link, Change Expiry, Set Password, Stop Sharing, Restart Sharing and Delete",,,
,,,Select Set Password option,,The Set Password form appears,,,
,,,Click on the Cancel button,,The status of selected files is still Public,,,
CFTP.FILEMANAGER.SHARE.063,Verify able to Stop Sharing for two files which have status are Public and Stopped,- Shared files with/without password ->the Shares folder appears with these shared files,Select two files have status Public and Stopped,,,,,
,,,Right click on them,,"The option list will show as: Copy Link, Change Expiry, Set Password, Stop Sharing, Restart Sharing and Delete",,,
,,,Select Stop Sharing option,,The Stop Sharing form appears,,,
,,,Click on the OK button,,The status of selected files is changed to Stopped,,,
CFTP.FILEMANAGER.SHARE.064,Verify able to cancel Stop Sharing for two files which have status are Public and Stopped,- Shared files with/without password ->the Shares folder appears with these shared files,Select two files have status Public and Stopped,,,,,
,,,Right click on them,,"The option list will show as: Copy Link, Change Expiry, Set Password, Stop Sharing, Restart Sharing and Delete",,,
,,,Select Stop Sharing option,,The Stop Sharing form appears,,,
,,,Click on the Cancel button,,The status of selected files is still Public,,,
CFTP.FILEMANAGER.SHARE.065,Verify Restart Sharing for two two files which have status are Public and Stopped,- Shared files with/without password ->the Shares folder appears with these shared files,Select two files have status Public and Stopped,,,,,
,,,Right click on them,,"The option list will show as: Copy Link, Change Expiry, Set Password, Stop Sharing, Restart Sharing and Delete",,,
,,,"Select ""Restart Sharing"" in the option list",,"""Share Restarted"" form appears ",,,
,,,Click on the OK button,,"The file is shared again, the status of the is public",,,
CFTP.FILEMANAGER.SHARE.066,Verify deleting for two files which have status are Public and Stopped,- Shared files with/without password ->the Shares folder appears with these shared files,Select two files have status Public and Stopped,,,,,
,,,Right click on them,,"The option list will show as: Copy Link, Change Expiry, Set Password, Stop Sharing, Restart Sharing and Delete",,,
,,,"Select ""Delete"" in the option list",,"""Remove Share"" form appears ",,,
